,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/berlin-apartments/,https://www.waytostay.com/barcelona-apartments/
https://www.waytostay.com/paris-apartments/champs-elysees-palace-0907/,"{'sleeps': '4', 'area_sqm': '85', 'bedrooms': '1', 'bathroom': '2', 'price': '€ 95'}",,
https://www.waytostay.com/paris-apartments/louvre-chatelet-i-0906/,"{'sleeps': '5', 'area_sqm': '38', 'bedrooms': 'studio', 'bathroom': '1', 'price': '€ 39'}",,
https://www.waytostay.com/paris-apartments/mini-bourdonnais-3126/,"{'sleeps': '2', 'area_sqm': '22', 'bedrooms': 'studio', 'bathroom': '1', 'price': '€ 52'}",,
https://www.waytostay.com/paris-apartments/romantic-studio-marais-14679/,"{'sleeps': '2', 'area_sqm': '30', 'bedrooms': 'studio', 'bathroom': '1', 'price': '€ 90'}",,
https://www.waytostay.com/paris-apartments/berthier-terrace-6783/,"{'sleeps': '4', 'area_sqm': '65', 'bedrooms': '2', 'bathroom': '1', 'price': '€ 24'}",,
https://www.waytostay.com/paris-apartments/louvre-chatelet-iii-0335/,"{'sleeps': '6', 'area_sqm': '50', 'bedrooms': '1', 'bathroom': '1', 'price': '€ 37'}",,
https://www.waytostay.com/paris-apartments/rue-de-rennes-2610/,"{'sleeps': '2', 'area_sqm': '20', 'bedrooms': 'studio', 'bathroom': '1', 'price': '€ 52'}",,
https://www.waytostay.com/paris-apartments/louvre-chatelet-v-0377/,"{'sleeps': '6', 'area_sqm': '44', 'bedrooms': '1', 'bathroom': '1', 'price': '€ 37'}",,
https://www.waytostay.com/paris-apartments/louvre-chatelet-vi-0369/,"{'sleeps': '4', 'area_sqm': '38', 'bedrooms': '1', 'bathroom': '1', 'price': '€ 45'}",,
https://www.waytostay.com/paris-apartments/louvre-chatelet-iv-0375/,"{'sleeps': '6', 'area_sqm': '46', 'bedrooms': '1', 'bathroom': '1', 'price': '€ 37'}",,
https://www.waytostay.com/paris-apartments/veron-3275/,"{'sleeps': '5', 'area_sqm': '42', 'bedrooms': '1', 'bathroom': '1', 'price': '€ 29'}",,
https://www.waytostay.com/paris-apartments/cherche-midi-montonnerre-5248/,"{'sleeps': '2', 'area_sqm': '22', 'bedrooms': 'studio', 'bathroom': '1', 'price': '€ 46'}",,
https://www.waytostay.com/berlin-apartments/bandel-minerva-i-3015/,,"{'sleeps': '10', 'area_sqm': '130', 'bedrooms': '4', 'bathroom': '2', 'price': '€ 29'}",
https://www.waytostay.com/berlin-apartments/urban-duplex-0809/,,"{'sleeps': '4', 'area_sqm': '60', 'bedrooms': '1', 'bathroom': '1', 'price': '€ 44'}",
https://www.waytostay.com/berlin-apartments/ahlbecker-lodge-8110/,,"{'sleeps': '4', 'area_sqm': '71', 'bedrooms': '1', 'bathroom': '1', 'price': '€ 28'}",
https://www.waytostay.com/berlin-apartments/elegant-east-berlin-13381/,,"{'sleeps': '2', 'area_sqm': '50', 'bedrooms': '1', 'bathroom': '1', 'price': '€ 45'}",
https://www.waytostay.com/berlin-apartments/kantstrasse-0884/,,"{'sleeps': '6', 'area_sqm': '79', 'bedrooms': '2', 'bathroom': '1', 'price': '€ 28'}",
https://www.waytostay.com/berlin-apartments/volkspark-peach-1946/,,"{'sleeps': '10', 'area_sqm': '85', 'bedrooms': '3', 'bathroom': '2', 'price': '€ 45'}",
https://www.waytostay.com/berlin-apartments/pappelallee-1830/,,"{'sleeps': '10', 'area_sqm': '165', 'bedrooms': '4', 'bathroom': '2', 'price': '€ 30'}",
https://www.waytostay.com/berlin-apartments/duncker-4592/,,"{'sleeps': '4', 'area_sqm': '70', 'bedrooms': '1', 'bathroom': '1', 'price': '€ 30'}",
https://www.waytostay.com/berlin-apartments/greifen-natur-5467/,,"{'sleeps': '3', 'area_sqm': '42', 'bedrooms': 'studio', 'bathroom': '1', 'price': '€ 28'}",
https://www.waytostay.com/berlin-apartments/uhland-2640/,,"{'sleeps': '2', 'area_sqm': '60', 'bedrooms': '1', 'bathroom': '1', 'price': '€ 32'}",
https://www.waytostay.com/berlin-apartments/viktoria-luise-platz-0490/,,"{'sleeps': '6', 'area_sqm': '110', 'bedrooms': '2', 'bathroom': '1', 'price': '€ 19'}",
https://www.waytostay.com/berlin-apartments/urban-mit-pistazie-0633/,,"{'sleeps': '4', 'area_sqm': '50', 'bedrooms': 'studio', 'bathroom': '1', 'price': '€ 44'}",
https://www.waytostay.com/barcelona-apartments/angeles-terraza-0214/,,,"{'sleeps': '4', 'area_sqm': '50', 'bedrooms': '1', 'bathroom': '1', 'price': '€ 38'}"
https://www.waytostay.com/barcelona-apartments/yellow-house-25688/,,,"{'sleeps': '7', 'area_sqm': '150', 'bedrooms': '3', 'bathroom': '2', 'price': '€ 32'}"
https://www.waytostay.com/barcelona-apartments/rooftop-terrace-f03-25681/,,,"{'sleeps': '6', 'area_sqm': '80', 'bedrooms': '2', 'bathroom': '2', 'price': '€ 19'}"
https://www.waytostay.com/barcelona-apartments/sleepy-sants-11901/,,,"{'sleeps': '6', 'area_sqm': '60', 'bedrooms': '2', 'bathroom': '1', 'price': '€ 18'}"
https://www.waytostay.com/barcelona-apartments/sagrada-familia-encants-2-14799/,,,"{'sleeps': '4', 'area_sqm': '50', 'bedrooms': '1', 'bathroom': '1', 'price': '€ 13'}"
https://www.waytostay.com/barcelona-apartments/blai-0023/,,,"{'sleeps': '4', 'area_sqm': '70', 'bedrooms': '2', 'bathroom': '1', 'price': '€ 29'}"
https://www.waytostay.com/barcelona-apartments/miro-f-11804/,,,"{'sleeps': '4', 'area_sqm': '48', 'bedrooms': '1', 'bathroom': '1', 'price': '€ 15'}"
https://www.waytostay.com/barcelona-apartments/rambla-y-playa-0464/,,,"{'sleeps': '4', 'area_sqm': '65', 'bedrooms': '2', 'bathroom': '2', 'price': '€ 21'}"
https://www.waytostay.com/barcelona-apartments/new-gotic-green-10587/,,,"{'sleeps': '4', 'area_sqm': '60', 'bedrooms': '1', 'bathroom': '2', 'price': '€ 45'}"
https://www.waytostay.com/barcelona-apartments/eixample-comfort-6687/,,,"{'sleeps': '4', 'area_sqm': '60', 'bedrooms': '1', 'bathroom': '1', 'price': '€ 32'}"
https://www.waytostay.com/barcelona-apartments/sant-joan-atico-6563/,,,"{'sleeps': '3', 'area_sqm': '85', 'bedrooms': '2', 'bathroom': '1', 'price': '€ 40'}"
https://www.waytostay.com/barcelona-apartments/miro-4-11818/,,,"{'sleeps': '5', 'area_sqm': '80', 'bedrooms': '2', 'bathroom': '1', 'price': '€ 17'}"
